cores, pop_size, num_particles, migration_interval, migration_rate, final_fitness, gen_count, elapsed, elapsed/gen_count

4, 2000, 10, 50, 0.050000, 52973.082798, 800, 1.806, 0.002258
4, 2000, 25, 50, 0.050000, 114067.577599, 800, 12.189, 0.015236
4, 2000, 50, 50, 0.050000, 231889.055274, 800, 50.756, 0.063445
4, 2000, 75, 50, 0.050000, 309279.527813, 800, 107.274, 0.134093
4, 2000, 100, 50, 0.050000, 435437.406334, 800, 192.903, 0.241129
4, 2000, 125, 50, 0.050000, 537131.993340, 800, 298.269, 0.372836
4, 2000, 150, 50, 0.050000, 528624.682610, 800, 422.292, 0.527865
4, 2000, 175, 50, 0.050000, 642796.115974, 800, 570.898, 0.713622
4, 2000, 200, 50, 0.050000, 316112.168317, 800, 748.367, 0.935458
