cores, pop_size, num_particles, final_fitness, gen_count, elapsed, elapsed/gen_count

4, 1000, 50, 231834.165819, 671, 41.405, 0.061706
4, 2000, 50, 227802.629446, 488, 59.119, 0.121145
4, 3000, 50, 248349.253676, 539, 98.074, 0.181956
4, 5000, 50, 239953.675077, 509, 173.571, 0.341004
4, 7000, 50, 256469.489080, 549, 237.862, 0.433264
4, 10000, 50, 252324.435204, 485, 293.030, 0.604186
4, 12000, 50, 289438.474769, 644, 467.350, 0.725698
4, 15000, 50, 272927.316614, 384, 345.247, 0.899081
4, 17000, 50, 248349.318888, 295, 304.013, 1.030554
4, 20000, 50, 264530.859328, 457, 557.028, 1.218880
4, 25000, 50, 276793.179165, 808, 1201.070, 1.486472
4, 30000, 50, 273037.148067, 350, 640.578, 1.830222
4, 40000, 50, 256355.882265, 473, 1132.888, 2.395112
4, 50000, 50, 276958.073041, 552, 1649.434, 2.988105
4, 60000, 50, 264641.687568, 442, 1607.242, 3.636294
4, 70000, 50, 268782.205926, 414, 1733.587, 4.187408
