cores, pop_size, num_particles, final_fitness, gen_count, elapsed, elapsed/gen_count

4, 2000, 10, 32479.999435, 108, 6.254, 0.057910
4, 2000, 25, 118099.165532, 227, 17.002, 0.074897
4, 2000, 50, 227691.635610, 545, 66.876, 0.122708
4, 2000, 75, 366172.306806, 707, 945.338, 1.337112
4, 2000, 100, 500729.182022, 1000, 469.222, 0.469222
4, 2000, 125, 590322.427333, 1000, 456.395, 0.456395
4, 2000, 150, 647163.124502, 1000, 622.297, 0.622297
4, 2000, 175, 105720.488776, 221, 189.561, 0.857743
4, 2000, 200, 109637.993536, 223, 265.602, 1.191039
