cores, pop_size, num_particles, final_fitness, gen_count, elapsed, elapsed/gen_count

4, 1000, 50, 231834.165819, 671, 41.405, 0.061706
4, 2000, 50, 227802.629446, 488, 59.119, 0.121145
4, 3000, 50, 260719.808022, 627, 812.857, 1.296422
4, 5000, 50, 239953.675077, 509, 173.571, 0.341004
4, 7000, 50, 264696.277041, 582, 531.362, 0.912993
4, 10000, 50, 252324.435204, 485, 293.030, 0.604186
4, 12000, 50, 289438.474769, 644, 467.350, 0.725698
4, 15000, 50, 272927.316614, 384, 345.247, 0.899081
4, 17000, 50, 248349.318888, 295, 304.013, 1.030554
4, 20000, 50, 264530.859328, 457, 557.028, 1.218880
