cores, pop_size, num_particles, migration_interval, migration_rate, final_fitness, gen_count, elapsed, elapsed/gen_count

32, 2000, 10, 50, 0.050000, 40655.500288, 800, 1.054, 0.001318
32, 2000, 25, 50, 0.050000, 93573.803575, 800, 5.972, 0.007465
32, 2000, 50, 50, 0.050000, 130028.859854, 800, 29.645, 0.037056
32, 2000, 75, 50, 0.050000, 268457.194536, 800, 81.162, 0.101452
32, 2000, 100, 50, 0.050000, 300656.870291, 800, 114.832, 0.143540
32, 2000, 125, 50, 0.050000, 382360.641129, 800, 158.901, 0.19862
32, 2000, 150, 50, 0.050000, 410191.179570, 800, 226.650, 0.283312
32, 2000, 175, 50, 0.050000, 499675.723484, 800, 299.556, 0.374445
32, 2000, 200, 50, 0.050000, 540667.280965, 800, 378.819, 0.473523
32, 2000, 250, 50, 0.050000, 662297.318437, 800, 614.658, 0.768323
32, 2000, 300, 50, 0.050000, 576728.970615, 800, 859.194, 1.073993
32, 2000, 350, 50, 0.050000, 620907.837982, 800, 1135.729, 1.419661
32, 2000, 400, 50, 0.050000, -nan, 800, 1548.892, 1.936115
