cores, pop_size, num_particles, migration_interval, migration_rate, final_fitness, gen_count, elapsed, elapsed/gen_count

32, 1000, 50, 50, 0.050000, 129917.834266, 800, 24.390, 0.030488
32, 2000, 50, 50, 0.050000, 130028.859854, 800, 29.449, 0.036812
32, 3000, 50, 50, 0.050000, 162452.282197, 800, 57.707, 0.072134
32, 5000, 50, 50, 0.050000, 186922.531250, 800, 71.227, 0.089034
32, 7000, 50, 50, 0.050000, 195267.671875, 800, 121.731, 0.152164
32, 10000, 50, 50, 0.050000, 219900.765625, 800, 175.264, 0.219079
32, 12000, 50, 50, 0.050000, 223766.502790, 800, 160.967, 0.201208
32, 15000, 50, 50, 0.050000, 219849.452974, 800, 194.277, 0.242846
32, 20000, 50, 50, 0.050000, 248403.537879, 800, 275.804, 0.344756
32, 25000, 50, 50, 0.050000, 227691.502579, 800, 402.206, 0.502757
32, 30000, 50, 50, 0.050000, 252492.690695, 800, 1650.056, 2.062570
32, 40000, 50, 50, 0.050000, 244373.187500, 800, 1761.016, 2.201269
32, 50000, 50, 50, 0.050000, 236033.175126, 800, 535.664, 0.669580
