cores, pop_size, num_particles, final_fitness, gen_count, elapsed, elapsed/gen_count

1, 2000, 50, 244152.118286, 609, 371.201, 0.609526
2, 2000, 50, 244152.118286, 609, 197.410, 0.324155
4, 2000, 50, 244152.118286, 609, 104.384, 0.171402
8, 2000, 50, 244152.118286, 609, 65.784, 0.108020
12, 2000, 50, 244152.118286, 609, 56.874, 0.093389
16, 2000, 50, 244152.118286, 609, 57.831, 0.094960
22, 2000, 50, 244152.118286, 609, 89.817, 0.147482
28, 2000, 50, 244152.118286, 609, 84.362, 0.138526
32, 2000, 50, 244152.118286, 609, 74.479, 0.122297S
