cores, pop_size, num_particles, final_fitness, gen_count, elapsed, elapsed/gen_count

1, 2000, 10, 32480.000000, 124, 3.466, 0.027954
1, 2000, 25, 126328.970111, 451, 82.120, 0.182083
1, 2000, 50, 244152.118286, 609, 384.643, 0.631597
1, 2000, 75, 382909.113485, 805, 1090.791, 1.355020
1, 2000, 100, 570759.216063, 1000, 2395.883, 2.395883

1, 2000, 150, 97266.967975, 213, 1236.609, 5.805676
1, 2000, 175, 89034.343040, 193, 1546.809, 8.014556
1, 2000, 200, 97320.008269, 207, 2115.881, 10.221647
1, 2000, 250, 113839.203004, 83, 1322.532, 15.934123
1, 2000, 300, 142782.101473, 154, 3432.141, 22.286629
