cores, pop_size, num_particles, final_fitness, gen_count, elapsed, elapsed/gen_count

32, 64000, 20, 97660.766334, 138, 462.833, 3.353862
32, 32000, 20, 97660.782973, 156, 350.173, 2.244697
32, 16000, 20, 97660.782970, 238, 206.821, 0.868994
32, 8000, 20, 85399.000567, 241, 87.630, 0.363610
32, 4000, 20, 97660.502924, 258, 50.118, 0.194257
32, 2000, 20, 97660.055528, 473, 44.343, 0.093748

16, 64000, 20, 97660.782969, 168, 332.522, 1.979298
16, 32000, 20, 97660.776644, 227, 224.753, 0.990102
16, 16000, 20, 89375.000552, 135, 66.148, 0.489985
16, 8000, 20, 97715.305800, 193, 39.726, 0.205833
16, 4000, 20, 93573.054338, 240, 25.185, 0.104940
16, 2000, 20, 93628.892846, 289, 14.070, 0.048686

8, 64000, 20, 89596.942310, 151, 236.224, 1.564398
8, 32000, 20, 97771.004849, 166, 127.790, 0.769817
8, 16000, 20, 105946.165596, 285, 107.943, 0.378747
8, 8000, 20, 109976.923367, 237, 42.806, 0.180615
8, 4000, 20, 89597.054516, 137, 12.407, 0.090559
8, 2000, 20, 85509.671212, 173, 7.858, 0.045424

4, 64000, 20, 97660.782951, 193, 314.724, 1.630696
4, 32000, 20, 97660.782975, 226, 178.915, 0.791661
4, 16000, 20, 122402.884370, 440, 175.373, 0.398576
4, 8000, 20, 109976.923367, 166, 31.242, 0.188204
4, 4000, 20, 85399.000573, 228, 21.722, 0.095273
4, 2000, 20, 93629.002218, 222, 10.562, 0.047576

2, 2000, 20, 97770.666316, 200, 14.624, 0.073120
2, 4000, 20, 97659.805729, 188, 26.407, 0.140463
2, 8000, 20, 109922.087842, 315, 85.762, 0.272259
2, 16000, 20, 105946.165595, 295, 160.927, 0.545514
2, 32000, 20, 101691.528078, 214, 239.558, 1.119431
2, 64000, 20, 97605.100231, 152, 373.605, 2.457929

1, 2000, 20, 97605.392062, 291, 34.082, 0.117119
1, 4000, 20, 101914.248234, 305, 65.480, 0.214690
1, 8000, 20, 93684.752361, 243, 109.332, 0.449926
1, 16000, 20, 89485.641905, 150, 130.928, 0.872855
1, 32000, 20, 101691.528078, 185, 332.411, 1.796816
1, 64000, 20, 97660.782950, 203, 594.704, 2.929577
