cores, pop_size, num_particles, migration_interval, migration_rate, final_fitness, gen_count, elapsed, elapsed/gen_count
4, 2000, 8, 50, 0.050000, 40710.391489, 800, 1.143, 0.001429
4, 2000, 16, 50, 0.050000, 69103.000576, 800, 5.072, 0.006341
4, 2000, 32, 50, 0.050000, 158753.171875, 800, 20.406, 0.025507
4, 2000, 64, 50, 0.050000, 272710.953840, 800, 80.317, 0.100397

2, 2000, 8, 50, 0.050000, 40710.391489, 800, 1.531, 0.001913
2, 2000, 16, 50, 0.050000, 77333.221949, 800, 7.221, 0.009026
2, 2000, 32, 50, 0.050000, 158918.687500, 800, 34.791, 0.043489
2, 2000, 64, 50, 0.050000, 296904.031250, 800, 135.208, 0.169011

1, 2000, 8, 50, 0.050000, 40710.391489, 800, 2.921, 0.003651
1, 2000, 16, 50, 0.050000, 81420.585938, 800, 13.232, 0.016541
1, 2000, 32, 50, 0.050000, 162785.531250, 800, 57.978, 0.072473
1, 2000, 64, 50, 0.050000, 334021.063526, 800, 243.038, 0.303797
