cores, pop_size, num_particles, migration_interval, migration_rate, final_fitness, gen_count, elapsed, elapsed/gen_count

4, 2000, 20, 50, 0.050000, 101745.564570, 800, 7.553, 0.009441
4, 4000, 20, 50, 0.050000, 105998.225949, 800, 16.192, 0.020240
4, 8000, 20, 50, 0.050000, 97660.782976, 800, 28.889, 0.036112
4, 16000, 20, 50, 0.050000, 97660.782978, 800, 60.222, 0.075278
4, 32000, 20, 50, 0.050000, 122402.884370, 800, 118.541, 0.148177
4, 64000, 20, 50, 0.050000, 122402.884370, 800, 236.151, 0.295188

2, 2000, 20, 50, 0.050000, 93629.142195, 800, 11.164, 0.013955
2, 4000, 20, 50, 0.050000, 97660.782754, 800, 22.247, 0.027809
2, 8000, 20, 50, 0.050000, 97605.392065, 800, 44.237, 0.055297
2, 16000, 20, 50, 0.050000, 109922.087842, 800, 87.436, 0.109295
2, 32000, 20, 50, 0.050000, 109921.476562, 800, 179.098, 0.223873
2, 64000, 20, 50, 0.050000, 89430.391476, 800, 364.702, 0.455877

1, 2000, 20, 50, 0.050000, 89375.000572, 800, 22.317, 0.027896
1, 4000, 20, 50, 0.050000, 110031.710938, 800, 44.204, 0.055255
1, 8000, 20, 50, 0.050000, 97549.721142, 800, 90.431, 0.113038
1, 16000, 20, 50, 0.050000, 89430.391458, 800, 182.987, 0.228733
1, 32000, 20, 50, 0.050000, 89430.391476, 800, 360.844, 0.451055
1, 64000, 20, 50, 0.050000, 109922.087843, 800, 692.527, 0.865659
