cores, pop_size, num_particles, migration_interval, migration_rate, final_fitness, gen_count, elapsed, elapsed/gen_count

32, 2000, 128, 50, 0.050000, 373844.625000, 800, 162.303, 0.202878
32, 2000, 64, 50, 0.050000, 203163.760264, 800, 45.742, 0.057178
32, 2000, 32, 50, 0.050000, 122075.893334, 800, 16.043, 0.020054
32, 2000, 16, 50, 0.050000, 56894.860586, 800, 2.375, 0.002969
32, 2000, 8, 50, 0.050000, 32534.891201, 800, 0.776, 0.000970

16, 2000, 128, 50, 0.050000, 415057.829369, 800, 338.781, 0.423476
16, 2000, 64, 50, 0.050000, 211394.687500, 800, 158.306, 0.197882
16, 2000, 32, 50, 0.050000, 130196.306966, 800, 58.409, 0.073011
16, 2000, 16, 50, 0.050000, 69158.111020, 800, 10.502, 0.013127
16, 2000, 8, 50, 0.050000, 24360.000000, 800, 2.902, 0.003628

8, 2000, 128, 50, 0.050000, 500567.991284, 800, 1082.360, 1.352950
8, 2000, 64, 50, 0.050000, 264312.634123, 800, 212.509, 0.265637
8, 2000, 32, 50, 0.050000, 142459.283816, 800, 53.167, 0.066459
8, 2000, 16, 50, 0.050000, 73244.554738, 800, 13.064, 0.016329
8, 2000, 8, 50, 0.050000, 36678.501357, 800, 3.718, 0.004648

4, 2000, 128, 50, 0.050000, 533266.062500, 800, 3004.776, 3.755971
4, 2000, 64, 50, 0.050000, 285137.343750, 800, 1087.111, 1.358889
4, 2000, 32, 50, 0.050000, 150523.723430, 800, 283.168, 0.353960
4, 2000, 16, 50, 0.050000, 81420.782971, 800, 70.065, 0.087581
4, 2000, 8, 50, 0.050000, 36678.501357, 800, 16.506, 0.02063

2, 2000, 128, 50, 0.050000, 263866.265879, 200, 1593.971, 7.969854
2, 2000, 64, 50, 0.050000, 313749.438761, 800, 1647.618, 2.059523
2, 2000, 32, 50, 0.050000, 162841.086026, 800, 472.982, 0.591227
2, 2000, 16, 50, 0.050000, 69159.000575, 800, 136.887, 0.171109
2, 2000, 8, 50, 0.050000, 40710.391489, 800, 33.583, 0.041978

1, 2000, 128, 50, 0.050000, 214700.832710, 200, 1822.936, 9.114678
1, 2000, 64, 50, 0.050000, 227578.157888, 200, 277.993, 1.389964
1, 2000, 32, 50, 0.050000, 175157.693659, 800, 519.459, 0.649323
1, 2000, 16, 50, 0.050000, 81420.585938, 800, 126.830, 0.158538
1, 2000, 8, 50, 0.050000, 32480.000000, 800, 31.543, 0.039429
